uid,наименование,статус
u787,Коллекции,Просмотрен
u553,Учебное пособие Домашняя техника,Просмотрен
u553,1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ,Просмотрен
u941,Назначение теста и курса,Просмотрен
u1422,Основы работы на кассовом аппарате Штрих-Мини-К,Просмотрен
u1695,Основы работы на кассовом аппарате Штрих-Мини-К,Просмотрен
u1463,Учебное пособие программы лояльности,Просмотрен
u941,Стандарты работы с Клиентами,Просмотрен
u941,Технология  демонстрации оборудования,Просмотрен
u1582,Учебное пособие программы лояльности,Просмотрен
u941,Демонстрационная презентация Соцпакет,Просмотрен
u1855,Демонстрационная презентация знакомство с брэндами,Просмотрен
u1855,Демонстрацинная презентация Как подобрать продукт клиенту,Просмотрен
u1440,Учебное пособие программы лояльности,Просмотрен
u1855,Демонстрационная презентация дисконтные карты,Просмотрен
u1855,Стандарты и Правила обслуживания,Просмотрен
u1855,Учебное пособие 1С Заявки на платеж,Просмотрен
u1855,Демонстрационная презентация АССОРТИМЕНТ,Просмотрен
u1855,Демонстрационная презентация телефоны,Просмотрен
u1855,Демонстрационная презентация Мотивационная модель,Просмотрен
u1855,Демонстрационная презентация Соцпакет,Просмотрен
u1422,Учебное пособие программы лояльности,Просмотрен
u1391,Учебное пособие программы лояльности,Просмотрен
u564,Учебное пособие программы лояльности,Просмотрен
u624,Учебное пособие программы лояльности,Просмотрен
u1670,Учебное пособие программы лояльности,Просмотрен
u1710,Учебное пособие программы лояльности,Просмотрен
u334,Учебное пособие программы лояльности,Просмотрен
u1948,Учебное пособие программы лояльности,Просмотрен
u825,Учебное пособие программы лояльности,Просмотрен
u913,Учебное пособие Домашняя техника,Просмотрен
u913,1С_БЮДЖЕТИРОВАНИЕ,Просмотрен
u1492,Учебное пособие для Управляющих «Проведение инвентаризации и переоценки ТМЦ»,Просмотрен
u1402,Секрет фирмы ,Просмотрен
u1402,Скрипты (ШОУРУМ),Просмотрен
u175,Учебное пособие для Управляющих «Проведение инвентаризации и переоценки ТМЦ»,Просмотрен
u1402,СКРИПТЫ спец проект,Просмотрен
u1402,Скрипты по презентации товара,Просмотрен
u1402,Подарки,Просмотрен
u1402,Планшеты,Просмотрен
u25,Недякин Искренний сервис (ознакомительный фрагмент),Просмотрен
u612,Учебное пособие для Управляющих «Проведение инвентаризации и переоценки ТМЦ»,Просмотрен
u1553,Как добавить сотрудника в состав участника мероприятия,Просмотрен
u470,Запуск теста на Портале обучения,Просмотрен
u470,Назначение теста и курса,Просмотрен
u1762,Демонстрацинная презентация Как подобрать продукт клиенту,Просмотрен
u1422,Учебное пособие для Управляющих «Проведение инвентаризации и переоценки ТМЦ»,Просмотрен
u1686,Учебное пособие для Управляющих «Проведение инвентаризации и переоценки ТМЦ»,Просмотрен
u1106,Учебное пособие для Управляющих «Проведение инвентаризации и переоценки ТМЦ»,Просмотрен
u58,Учебное пособие для Управляющих «Проведение инвентаризации и переоценки ТМЦ»,Просмотрен
